,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
202,[0.08685014],[0.],[0.05100106],[0.05148662],[0.05738947],[0.08896176]
203,[0.08275565],[0.],[0.04859654],[0.04905878],[0.05468342],[0.08476704]
204,[0.08017661],[0.],[0.04708282],[0.04753037],[0.05297962],[0.08212579]
205,[0.077004],[0.],[0.04522003],[0.04564944],[0.05088355],[0.07887715]
206,[0.07260365],[0.],[0.04263581],[0.04304102],[0.04797619],[0.07436966]
207,[0.06806592],[0.],[0.03997037],[0.04035053],[0.04497725],[0.06972048]
208,[0.06136214],[0.],[0.03603398],[0.03637613],[0.04054752],[0.06285427]
209,[0.05850835],[0.],[0.03435869],[0.03468528],[0.03866227],[0.05993136]
210,[0.05588352],[0.],[0.03281645],[0.03312835],[0.03692736],[0.05724259]
211,[0.05133715],[0.],[0.03014755],[0.0304344],[0.03392323],[0.0525865]
212,[0.08670413],[0.],[0.05091552],[0.05139936],[0.05729357],[0.08881229]
213,[0.07991395],[0.],[0.0469273],[0.04737398],[0.05280595],[0.08185622]
214,[0.21097757],[0.],[0.12389242],[0.12507091],[0.13941158],[0.21610714]
215,[0.19381853],[0.],[0.11381731],[0.11489904],[0.12807331],[0.19853251]
216,[0.18035136],[0.],[0.10590826],[0.10691568],[0.11917411],[0.18473702]
217,[0.17145821],[0.],[0.10068624],[0.10164355],[0.11329718],[0.17562787]
218,[0.16159824],[0.],[0.09489658],[0.09579859],[0.10678262],[0.16552858]
219,[0.14694307],[0.],[0.08629027],[0.08711107],[0.09709891],[0.15051744]
220,[0.12946435],[0.],[0.07602595],[0.07674912],[0.08554896],[0.13261277]
221,[0.11382336],[0.],[0.06684077],[0.06747581],[0.07521293],[0.11659075]
222,[0.10711699],[0.],[0.06290266],[0.06350141],[0.07078234],[0.10972195]
223,[0.09892973],[0.],[0.0580945],[0.05864746],[0.06537197],[0.1013351]
224,[0.0897385],[0.],[0.05269709],[0.05319821],[0.05929805],[0.0919201]
225,[0.08415878],[0.],[0.0494208],[0.04989082],[0.05561136],[0.08620474]
