,catchment3,catchment4,catchment5,catchment6,catchment_1,catchment_2
196,[0.14855789],0,[0.08723808],[0.08806838],[0.09816509],[0.15217027]
197,[0.13651114],0,[0.08016365],[0.08092656],[0.09020506],[0.13982976]
198,[0.12676781],0,[0.07444224],[0.07515072],[0.08376653],[0.12985142]
199,[0.11184912],0,[0.06568128],[0.06630595],[0.07390915],[0.11456899]
200,[0.10410682],0,[0.06113578],[0.06171725],[0.06879341],[0.10664006]
201,[0.09229766],0,[0.05420045],[0.05471539],[0.0609889],[0.09454147]
202,[0.08685014],0,[0.05100106],[0.05148662],[0.05738947],[0.08896176]
203,[0.08275565],0,[0.04859654],[0.04905878],[0.05468342],[0.08476704]
204,[0.08017661],0,[0.04708282],[0.04753037],[0.05297962],[0.08212579]
205,[0.077004],0,[0.04522003],[0.04564944],[0.05088355],[0.07887715]
206,[0.07260365],0,[0.04263581],[0.04304102],[0.04797619],[0.07436966]
207,[0.06806592],0,[0.03997037],[0.04035053],[0.04497725],[0.06972048]
208,[0.06136214],0,[0.03603398],[0.03637613],[0.04054752],[0.06285427]
209,[0.05850835],0,[0.03435869],[0.03468528],[0.03866227],[0.05993136]
210,[0.05588352],0,[0.03281645],[0.03312835],[0.03692736],[0.05724259]
211,[0.05133715],0,[0.03014755],[0.0304344],[0.03392323],[0.0525865]
212,[0.05135926],0,[0.03016053],[0.0304475],[0.03393784],[0.05260914]
213,[0.05144122],0,[0.03020866],[0.03049609],[0.033992],[0.05269309]
214,[0.05167253],0,[0.03034449],[0.03063321],[0.03414485],[0.05293002]
215,[0.05218691],0,[0.03064655],[0.03093814],[0.03448474],[0.0534569]
216,[0.05300753],0,[0.03112843],[0.0314246],[0.035027],[0.05429746]
217,[0.05406936],0,[0.03175196],[0.03205406],[0.03572864],[0.0553851]
218,[0.05532052],0,[0.03248668],[0.03279576],[0.03655539],[0.05666667]
219,[0.05671239],0,[0.03330403],[0.03362088],[0.03747512],[0.05809238]
220,[0.05819237],0,[0.03417311],[0.03449823],[0.03845307],[0.05960834]
221,[0.05970738],0,[0.03506277],[0.03539634],[0.03945417],[0.06116018]
222,[0.06121555],0,[0.03594841],[0.0362904],[0.04045075],[0.06270501]
223,[0.0626905],0,[0.03681454],[0.03716476],[0.04142538],[0.06421581]
224,[0.06407519],0,[0.03762765],[0.0379856],[0.04234036],[0.06563413]
225,[0.06521887],0,[0.03829921],[0.03866355],[0.04309608],[0.06680555]
226,[0.06603078],0,[0.03877597],[0.03914484],[0.04363257],[0.06763716]
227,[0.06658719],0,[0.03910269],[0.03947465],[0.04400022],[0.06820706]
228,[0.06689099],0,[0.03928105],[0.03965467],[0.04420094],[0.0685182]
229,[0.06689347],0,[0.03928262],[0.03965501],[0.04420224],[0.06852038]
230,[0.06465485],0,[0.03796762],[0.03832877],[0.04272307],[0.06622646]
231,[0.06117293],0,[0.03592253],[0.03626467],[0.04042224],[0.06266074]
232,[0.05880038],0,[0.03452976],[0.03485808],[0.03885494],[0.0602303]
233,[0.05576688],0,[0.03274819],[0.0330601],[0.03685046],[0.05712422]
234,[0.05215882],0,[0.03062966],[0.0309217],[0.03446669],[0.05342803]
235,[0.04888685],0,[0.02870726],[0.02898029],[0.03230323],[0.05007485]
236,[0.04706467],0,[0.02763763],[0.02790029],[0.03109968],[0.04820861]
237,[0.04587581],0,[0.02693952],[0.02719613],[0.0303143],[0.04699123]
238,[0.04472237],0,[0.02626214],[0.02651184],[0.02955139],[0.04580928]
239,[0.04282848],0,[0.02515018],[0.0253895],[0.02830032],[0.0438696]
240,[0.0418703],0,[0.02458771],[0.02482099],[0.02766701],[0.0428881]
241,[0.0404473],0,[0.02375136],[0.02397773],[0.02672698],[0.04143053]
242,[0.03923078],0,[0.0230377],[0.02325629],[0.02592346],[0.04018464]
243,[0.03923158],0,[0.02303816],[0.02325676],[0.02592398],[0.04018545]
244,[0.03897418],0,[0.02288736],[0.02310509],[0.02575411],[0.03992285]
245,[0.03773434],0,[0.02215901],[0.02237069],[0.02493504],[0.03865277]
246,[0.03618778],0,[0.02125094],[0.02145312],[0.02391293],[0.03706819]
247,[0.03458678],0,[0.02031005],[0.02050272],[0.02285453],[0.03542832]
248,[0.03362083],0,[0.01974326],[0.01993075],[0.02221603],[0.03443818]
249,[0.0327983],0,[0.01926029],[0.01944346],[0.02167258],[0.03359664]
250,[0.03198787],0,[0.01878422],[0.01896221],[0.0211369],[0.03276547]
251,[0.03091738],0,[0.01815523],[0.01832803],[0.02042928],[0.03166906]
252,[0.02955658],0,[0.0173569],[0.01752192],[0.01953158],[0.03027629]
253,[0.02897078],0,[0.01701302],[0.01717459],[0.01914365],[0.02967581]
254,[0.02830032],0,[0.01661904],[0.01677629],[0.01870042],[0.02898806]
255,[0.02765664],0,[0.01624147],[0.01639526],[0.01827533],[0.0283297]
256,[0.02673216],0,[0.01569802],[0.01584749],[0.01766448],[0.02738189]
257,[0.02598912],0,[0.0152617],[0.01540685],[0.01717373],[0.02662157]
258,[0.02562883],0,[0.01505002],[0.01519258],[0.01693526],[0.02625178]
259,[0.02550269],0,[0.01497658],[0.01511914],[0.01685232],[0.0261239]
260,[0.0248927],0,[0.01461802],[0.01475712],[0.01644883],[0.02549837]
261,[0.02398464],0,[0.01408493],[0.01421885],[0.01584835],[0.02456784]
262,[0.02360707],0,[0.01386288],[0.01399507],[0.01559952],[0.02418077]
263,[0.02309299],0,[0.01356048],[0.01369008],[0.0152591],[0.02365373]
264,[0.02278541],0,[0.01338077],[0.01350778],[0.01505693],[0.02333923]
265,[0.02221344],0,[0.01304467],[0.01316822],[0.0146785],[0.02275344]
266,[0.02193955],0,[0.0128831],[0.01300579],[0.01449706],[0.02247264]
267,[0.02171318],0,[0.01275091],[0.01287274],[0.01434845],[0.02224195]
268,[0.02149286],0,[0.01262131],[0.01274054],[0.01420157],[0.02201472]
269,[0.02083104],0,[0.01223251],[0.01234915],[0.01376525],[0.02133821]
270,[0.02049235],0,[0.01203379],[0.01214784],[0.01354147],[0.02099088]
271,[0.02000506],0,[0.01174694],[0.01185926],[0.01321834],[0.02049062]
272,[0.01980115],0,[0.01162771],[0.0117383],[0.01308442],[0.02028326]
273,[0.01980548],0,[0.01163025],[0.01174087],[0.01308728],[0.0202877]
274,[0.019822],0,[0.01163995],[0.01175066],[0.01309819],[0.02030462]
275,[0.01985297],0,[0.01165814],[0.01176903],[0.01311865],[0.02033634]
276,[0.01989598],0,[0.0116834],[0.01179453],[0.01314708],[0.02038039]
277,[0.01994874],0,[0.01171438],[0.01182581],[0.01318194],[0.02043443]
278,[0.02000904],0,[0.01174979],[0.01186156],[0.01322178],[0.02049619]
279,[0.02007489],0,[0.01178846],[0.01190061],[0.0132653],[0.02056364]
280,[0.02014432],0,[0.01182924],[0.01194177],[0.01331118],[0.02063475]
281,[0.02021555],0,[0.01187107],[0.011984],[0.01335825],[0.0207077]
282,[0.02028752],0,[0.01191333],[0.01202668],[0.0134058],[0.02078142]
283,[0.02035941],0,[0.01195555],[0.0120693],[0.01345331],[0.02085505]
284,[0.02043034],0,[0.01199721],[0.01211136],[0.01350018],[0.0209277]
285,[0.02049952],0,[0.01203783],[0.01215238],[0.01354589],[0.02099855]
286,[0.02055924],0,[0.01207291],[0.01218778],[0.01358534],[0.0210597]
287,[0.02060052],0,[0.01209715],[0.01221224],[0.01361261],[0.02110196]
288,[0.02062572],0,[0.01211193],[0.01222717],[0.01362925],[0.02112775]
289,[0.02064134],0,[0.0121211],[0.01223642],[0.01363957],[0.02114372]
290,[0.02065069],0,[0.0121266],[0.01224197],[0.01364577],[0.02115327]
291,[0.02051395],0,[0.01204589],[0.0121608],[0.0135553],[0.02101248]
292,[0.02018563],0,[0.01185322],[0.0119664],[0.01333843],[0.02067638]
293,[0.01988928],0,[0.01167955],[0.01179014],[0.0131423],[0.02037312]
294,[0.01974758],0,[0.01159661],[0.0117072],[0.01304899],[0.02022797]
295,[0.01963267],0,[0.01152922],[0.01163894],[0.01297296],[0.0201096]
