Date,Simulated TDS,Threshold,Output
1959-12-05,159.6036839,170,0.0824256
1959-12-06,159.8986833,170,0.0824256
1959-12-07,160.2166848,170,0.0824256
1959-12-08,160.5469246,170,0.0824256
1959-12-09,160.8707729,170,0.0824256
1959-12-10,161.1781992,170,0.0824256
1959-12-11,161.4680921,170,0.0824256
1959-12-12,161.7408297,170,0.0824256
1959-12-13,161.9944136,170,0.0824256
1959-12-14,162.2166486,170,0.0824256
1959-12-15,162.4179765,170,0.0824256
1959-12-16,162.6082408,170,0.0824256
1959-12-17,160.9292425,170,0.0824256
1959-12-18,159.5311736,170,0.0824256
1959-12-19,158.505653,170,0.0824256
1959-12-20,157.8138004,170,0.0824256
1959-12-21,157.3282509,170,0.0824256
1959-12-22,156.9420063,170,0.0824256
1959-12-23,156.7654922,170,0.0824256
1959-12-24,156.743065,170,0.0824256
1959-12-25,156.8698659,170,0.0824256
1959-12-26,157.0788731,170,0.0824256
1959-12-27,157.3487423,170,0.0824256
1959-12-28,157.6525996,170,0.0824256
1959-12-29,157.9861571,170,0.0824256
1959-12-30,158.3505739,170,0.0824256
1959-12-31,158.6831899,170,0.0824256
1960-01-01,158.9117834,170,0.086832
1960-01-02,159.1816657,170,0.086832
1960-01-03,159.4680338,170,0.086832
1960-01-04,159.7708372,170,0.086832
1960-01-05,160.0894943,170,0.086832
1960-01-06,160.4250959,170,0.086832
1960-01-07,160.7373841,170,0.086832
1960-01-08,161.0163279,170,0.086832
1960-01-09,161.2761421,170,0.086832
1960-01-10,161.5160505,170,0.086832
1960-01-11,161.7354543,170,0.086832
1960-01-12,161.9396726,170,0.086832
1960-01-13,162.1315832,170,0.086832
1960-01-14,162.3138313,170,0.086832
1960-01-15,162.4815957,170,0.086832
1960-01-16,162.6438587,170,0.086832
1960-01-17,162.8011362,170,0.086832
1960-01-18,162.9501134,170,0.086832
1960-01-19,163.0913964,170,0.086832
1960-01-20,163.2232747,170,0.086832
1960-01-21,163.3468302,170,0.086832
1960-01-22,163.4645739,170,0.086832
1960-01-23,163.5786057,170,0.086832
1960-01-24,163.6902951,170,0.086832
1960-01-25,163.797443,170,0.086832
1960-01-26,163.9012752,170,0.086832
1960-01-27,164.0025905,170,0.086832
1960-01-28,164.0996401,170,0.086832
1960-01-29,164.195149,170,0.086832
1960-01-30,164.2879084,170,0.086832
1960-01-31,164.3766462,170,0.086832
1960-02-01,164.4242007,170,0.09072
1960-02-02,164.4639392,170,0.09072
1960-02-03,164.3238957,170,0.09072
1960-02-04,163.9637964,170,0.09072
1960-02-05,163.6492677,170,0.09072
1960-02-06,163.3820035,170,0.09072
1960-02-07,163.1721262,170,0.09072
1960-02-08,163.0073862,170,0.09072
1960-02-09,162.9067402,170,0.09072
1960-02-10,162.8476442,170,0.09072
1960-02-11,162.822954,170,0.09072
1960-02-12,162.8269625,170,0.09072
1960-02-13,162.8589532,170,0.09072
1960-02-14,162.9184748,170,0.09072
1960-02-15,163.0071035,170,0.09072
1960-02-16,163.1115715,170,0.09072
1960-02-17,163.2282689,170,0.09072
1960-02-18,163.3524272,170,0.09072
1960-02-19,163.4843289,170,0.09072
1960-02-20,163.6217672,170,0.09072
1960-02-21,163.7622126,170,0.09072
1960-02-22,162.9750984,170,0.09072
1960-02-23,163.5940606,170,0.09072
1960-02-24,163.2422373,170,0.09072
1960-02-25,162.6671482,170,0.09072
1960-02-26,162.2243309,170,0.09072
1960-02-27,161.9577413,170,0.09072
1960-02-28,161.8007395,170,0.09072
1960-02-29,161.6864194,170,0.09072
1960-03-01,161.3857373,170,0.093312
1960-03-02,161.545549,170,0.093312
1960-03-03,161.7156262,170,0.093312
1960-03-04,161.873602,170,0.093312
1960-03-05,162.0227418,170,0.093312
1960-03-06,162.1569963,170,0.093312
1960-03-07,162.2793545,170,0.093312
1960-03-08,162.3876707,170,0.093312
1960-03-09,162.4856688,170,0.093312
1960-03-10,162.5752779,170,0.093312
1960-03-11,162.658423,170,0.093312
1960-03-12,162.7364717,170,0.093312
1960-03-13,162.8056966,170,0.093312
1960-03-14,162.8151179,170,0.093312
1960-03-15,162.6149736,170,0.093312
1960-03-16,162.4829977,170,0.093312
1960-03-17,162.4614207,170,0.093312
1960-03-18,162.8788693,170,0.093312
